run_utc	claim_id	claim_status	claim_type	name_context_class	asserted_by	first_seen_date	confidence	claim_text	related_source_urls	gap_reason
20260924T162139Z	claim-andrew-arrested-20260219	alleged	timeline	administrative_mention	NPR / CBS	2026-02-19	0.95	Thames Valley Police arrested Andrew Mountbatten-Windsor on February 19, 2026 on suspicion of misconduct in public office and released him under investigation.	https://www.cbsnews.com/news/former-prince-andrew-arrested-epstein-files-suspected-misconduct-public-office/, https://www.npr.org/2026/02/19/nx-s1-5719098/former-prince-andrew-arrested-on-suspicion-of-misconduct-in-public-office-reports	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T162139Z	claim-blanche-confirmed-ag-20260808	alleged	timeline	administrative_mention	NPR / Washington Post	2026-08-08	0.95	The Senate confirmed Todd Blanche as U.S. Attorney General on August 8, 2026 by a 50-49 vote.	https://www.npr.org/2026/08/08/g-s1-137631/senate-confirms-todd-blanche-attorney-general, https://www.washingtonpost.com/national-security/2026/08/08/senate-narrowly-approves-todd-blanche-ag-capping-tough-confirmation-fight/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T162139Z	claim-bofa-settlement-final-approval-20260827	alleged	legal	administrative_mention	Reuters / ABC	2026-08-27	0.93	A federal judge gave final approval on August 27, 2026 to Bank of America's $72.5 million class settlement with Epstein accusers.	https://abcnews.com/US/judge-final-approval-bank-americas-72-million-settlement/story?id=136002279, https://www.usnews.com/news/top-news/articles/2026-08-27/court-approves-bank-of-americas-72-5-million-settlement-with-epstein-accusers	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T162139Z	claim-bondi-removed-ag-20260402	alleged	timeline	administrative_mention	CBS News / Axios	2026-04-02	0.95	President Trump removed Pam Bondi as U.S. Attorney General on April 2, 2026, and Deputy Attorney General Todd Blanche became acting attorney general.	https://www.axios.com/2026/04/02/pam-bondi-attorney-general-out, https://www.cbsnews.com/news/trump-pam-bondi-attorney-general/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T162139Z	claim-doj-appeal-stay-motion-20260922	alleged	procedural	media_reference	Axios / MS NOW / Raw Story	2026-09-22	0.84	DOJ filed a notice of appeal of Judge Sullivan's September 16, 2026 order on September 17 and on September 22 asked the D.C. Circuit (No. 26-5299) to stay the foreign-language-records portions of the June 25 and September 16 orders and to expedite the appeal.	https://www.axios.com/2026/09/17/epstein-files-doj-contempt-judge-blanche, https://www.rawstory.com/todd-blanche-epstein-files-2677919559/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T162139Z	claim-doj-declined-more-files-20260702	alleged	procedural	media_reference	ABC News / Forbes	2026-07-02	0.88	At the July 2, 2026 injunction deadline in Phang v. Blanche, DOJ declined to produce additional unredacted records, defended its redactions, and asked the court for 60 more days or to accept its reasons.	https://abcnews.com/Politics/doj-declines-turn-additional-epstein-files-redactions/story?id=134430675, https://www.forbes.com/sites/alisondurkee/2026/07/02/could-more-epstein-files-be-released-today-doj-faces-court-ordered-deadline-to-unredact-names/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T162139Z	claim-doj-letter-300plus-no-context	alleged	procedural	administrative_mention	DOJ (reported by Reuters/CNN)	2026-02-15	0.89	Reuters and CNN reported DOJ sent lawmakers a summary covering over 300 officials and politically exposed persons in Epstein-related records, while stating inclusion in that summary does not itself establish wrongdoing.	https://keyt.com/news/national-world/cnn-us-politics/2026/02/15/doj-letter-on-epstein-files-lists-hundreds-of-names-but-doesnt-provide-context/, https://whbl.com/2026/02/15/us-justice-department-sends-letter-on-epstein-files-redactions-to-congress/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T162139Z	claim-doj-oig-efta-audit-20260423	alleged	procedural	administrative_mention	UPI / The Hill	2026-04-23	0.9	The DOJ Office of the Inspector General announced in April 2026 an audit of DOJ compliance with the Epstein Files Transparency Act.	https://thehill.com/homenews/administration/5845360-doj-ig-epstein-files-transparency/, https://www.upi.com/Top_News/US/2026/04/23/justice-department-inspector-general-audit-epstein-files-release/7901776973145/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T162139Z	claim-doj-redactions-letter-reuters	alleged	procedural	administrative_mention	Reuters	2026-02-15	0.90	Reuters reported DOJ sent lawmakers a Feb. 15, 2026 letter describing redaction rationale and stating four newly discussed individuals were not directly tied to wrongdoing in reviewed records.	https://www.yahoo.com/news/us-justice-department-sends-letter-072131716.html	No tier-1 evidence_type link (primary/transcript/filing/release).
20260924T162139Z	claim-efta2-discharge-218-20260918	alleged	procedural	administrative_mention	Axios	2026-09-18	0.88	Reps. Massie and Khanna said on September 18, 2026 that the discharge petition for the Epstein Files Transparency Act II had reached 218 signatures.	https://politicalwire.com/2026/09/18/second-epstein-files-discharge-petition-has-the-signatures/, https://www.axios.com/2026/09/18/epstein-files-vote-massie-khanna-support	No tier-1 evidence_type link (primary/transcript/filing/release).
