run_utc	mention_id	doc_id	entity_id	entity_type	canonical_name	mention_text	normalized_mention_text	context_type	context_snippet	mention_count	confidence	source_span_id	source_url
20260923T220951Z	mention-d6434cc1d670373f	doc-aljazeera-siad-dead-2026-07-22	entity-537e4623596271ee	person	Al Jazeera	Al Jazeera	al jazeera	news_clipping	Al Jazeera: French model recruiter found dead.	2	0.90		https://www.aljazeera.com/news/2026/7/22/french-model-recruiter-with-close-ties-to-jeffrey-epstein-found-dead
20260923T220951Z	mention-90f411124b16ab83	doc-aljazeera-starmer-resignation-2026-06-22	entity-537e4623596271ee	person	Al Jazeera	Al Jazeera	al jazeera	news_clipping	Al Jazeera explainer on the resignation.	2	0.90		https://www.aljazeera.com/news/2026/6/22/why-has-keir-starmer-resigned-as-uk-prime-minister-and-who-will-take-over
20260923T220951Z	mention-13a4818cb202dba2	doc-ap-wasserman-agency-sale-2026-02-14	entity-26fdf29c448e0da9	person	Casey Wasserman	Casey Wasserman	casey wasserman	email_body	AP says LA28 chair Casey Wasserman is selling his agency after Maxwell email disclosure.	3	0.90		https://apnews.com/article/jeffrey-epstein-casey-wasserman-ghislaine-maxwell-olympics-02bc53aa1b6fa6fecac47e3a31a29ef1
20260923T220951Z	mention-ecd1d678c18aa234	doc-axios-bondi-out-2026-04-02	entity-3d38d965e23e48c0	person	Attorney General	Attorney General	attorney general	news_clipping	Axios: Attorney General Pam Bondi pushed out.	2	0.90		https://www.axios.com/2026/04/02/pam-bondi-attorney-general-out
20260923T220951Z	mention-88a9a3f487bd9e1c	doc-axios-bondi-out-2026-04-02	entity-16c0b8bb566a7911	person	Attorney General Pam Bondi	Attorney General Pam Bondi	attorney general pam bondi	news_clipping	Axios: Attorney General Pam Bondi pushed out.	2	0.90		https://www.axios.com/2026/04/02/pam-bondi-attorney-general-out
20260923T220951Z	mention-d4e8fa5c0b521387	doc-axios-bondi-out-2026-04-02	entity-5fece04059ba0949	person	Pam Bondi	Pam Bondi	pam bondi	news_clipping	Axios: Attorney General Pam Bondi pushed out.	3	0.90		https://www.axios.com/2026/04/02/pam-bondi-attorney-general-out
20260923T220951Z	mention-bc4a4fe57d7bfe7a	doc-cbs-andrew-arrest-2026-02-19	entity-431689d8ab66328c	person	Prince Andrew	Prince Andrew	prince andrew	news_clipping	CBS: former Prince Andrew arrested over suspected misconduct in public office.	3	0.90		https://www.cbsnews.com/news/former-prince-andrew-arrested-epstein-files-suspected-misconduct-public-office/
20260923T220951Z	mention-2dddc784081a6c82	doc-clearinghouse-phang-v-blanche	entity-238f3a9f831a78d1	organization	Civil Rights Litigation Clearinghouse	Civil Rights Litigation Clearinghouse	civil rights litigation clearinghouse	news_clipping	Civil Rights Litigation Clearinghouse case summary for Phang v. Blanche 1:26-cv-01417.	2	0.90		https://clearinghouse.net/case/48180/
20260923T220951Z	mention-c98645edebe1ac4a	doc-cnbc-black-contempt-2026-09-16	entity-7bc876982c65b8e8	person	Leon Black	Leon Black	leon black	news_clipping	CNBC: House votes to hold Leon Black in contempt.	3	0.90		https://www.cnbc.com/2026/09/16/leon-black-contempt-house-epstein-subpoenas-refusal.html
20260923T220951Z	mention-998f4d5569e9ee00	doc-cnn-pritzker-retire-2026-02-16	entity-a2ae794ee60df01d	person	Executive Chairman	Executive Chairman	executive chairman	news_clipping	CNN: Hyatt executive chairman steps down.	2	0.90		https://www.cnn.com/2026/02/16/business/hyatt-pritzker-retire-epstein
