run_utc	candidate_id	claim_text	claim_type	asserted_by	first_seen_date	proposed_status	confidence	topic_id	evidence_doc_id	evidence_url	rationale
20260215T171141Z	candidate-500ceee24cf3463e	Court record 'Giuffre v. Maxwell' is indexed with filing date 2016-02-29.	procedural	CourtListener	2016-02-29	pending_review	0.68	court_and_litigation	doc-courtlistener-91fb18783934	https://www.courtlistener.com/opinion/7318626/giuffre-v-maxwell/	Primary court index record
20260215T171141Z	candidate-bc61afdec9e9b373	Court record 'Giuffre v. Maxwell' is indexed with filing date 2016-11-21.	procedural	CourtListener	2016-11-21	pending_review	0.68	court_and_litigation	doc-courtlistener-0baf3159397f	https://www.courtlistener.com/opinion/7322971/giuffre-v-maxwell/	Primary court index record
20260215T171141Z	candidate-3273b43aebe081da	Court record 'Giuffre v. Maxwell' is indexed with filing date 2018-08-27.	procedural	CourtListener	2018-08-27	pending_review	0.68	court_and_litigation	doc-courtlistener-26b97f011ccc	https://www.courtlistener.com/opinion/7331533/giuffre-v-maxwell/	Primary court index record
20260215T171141Z	candidate-3dd966b4d6a26885	Court record 'Brown v. Maxwell Dershowitz v. Giuffre' is indexed with filing date 2019-07-03.	procedural	CourtListener	2019-07-03	pending_review	0.68	court_and_litigation	doc-courtlistener-024c3511ac6a	https://www.courtlistener.com/opinion/4636326/brown-v-maxwell-dershowitz-v-giuffre/	Primary court index record
20260215T171141Z	candidate-831cd52196c91cc6	Congressional Record entry 'Jeffrey Epstein (Executive Session)' appears with date 2019-07-09.	timeline	US Congress	2019-07-09	pending_review	0.70	congressional_record_activity	doc-govinfo-transcript-a8f202600243	https://www.govinfo.gov/content/pkg/CREC-2019-07-09/html/CREC-2019-07-09-pt1-PgS4708-3.htm	Primary congressional transcript
20260215T171141Z	candidate-d9b2ad713e42d373	Court record 'United States v. Maxwell' is indexed with filing date 2024-09-17.	procedural	CourtListener	2024-09-17	pending_review	0.68	court_and_litigation	doc-courtlistener-176880d5475c	https://www.courtlistener.com/opinion/10119519/united-states-v-maxwell/	Primary court index record
20260215T171141Z	candidate-72d65325058ef279	Congressional Record entry 'Jeffrey Epstein (Executive Calendar)' appears with date 2025-02-05.	timeline	US Congress	2025-02-05	pending_review	0.70	congressional_record_activity	doc-govinfo-transcript-06ad6deaa89c	https://www.govinfo.gov/content/pkg/CREC-2025-02-05/html/CREC-2025-02-05-pt1-PgS609.htm	Primary congressional transcript
20260215T171141Z	candidate-5eb867b947817301	DOJ OPA published 'Attorney General Pamela Bondi releases first phase of declassified Epstein files' on 2025-02-27.	procedural	DOJ OPA	2025-02-27	pending_review	0.80	doj_release_operations	doc-doj-opa-first-phase	https://www.justice.gov/opa/pr/attorney-general-pamela-bondi-releases-first-phase-declassified-epstein-files	Primary agency release record
20260215T171141Z	candidate-fb8cb47e089ecb45	GovTrack records 'Epstein Files Transparency Act (H.R. 4405) - GovTrack.us' with document date 2025-07-15.	legal	GovTrack	2025-07-15	pending_review	0.76	transparency_legislation	doc-govtrack-hr4405	https://www.govtrack.us/congress/bills/119/hr4405	Primary congressional bill record
20260215T171141Z	candidate-b4a38da6b7fbf324	GovTrack logs a bill action on 2025-07-15: Introduced.	procedural	GovTrack	2025-07-15	pending_review	0.75	transparency_legislation	doc-govtrack-action-01-19481d7c69e0	https://www.govtrack.us/congress/bills/119/hr4405#status-row-grid	Primary bill action history
