run_utc	mention_id	doc_id	entity_id	entity_type	canonical_name	mention_text	normalized_mention_text	context_type	context_snippet	mention_count	confidence	source_span_id	source_url
20260924T224637Z	mention-b58b678a660e7b2e	doc-abqjournal-preservation-2026	entity-90bc43b5c644845b	person	Albuquerque Journal	Albuquerque Journal	albuquerque journal	news_clipping	Albuquerque Journal: companies asked to preserve records.	3	0.90		https://www.abqjournal.com/news/dozens-of-companies-asked-to-preserve-records-in-epstein-probe/3065405
20260924T224637Z	mention-d6434cc1d670373f	doc-aljazeera-siad-dead-2026-07-22	entity-537e4623596271ee	person	Al Jazeera	Al Jazeera	al jazeera	news_clipping	Al Jazeera: French model recruiter found dead.	2	0.90		https://www.aljazeera.com/news/2026/7/22/french-model-recruiter-with-close-ties-to-jeffrey-epstein-found-dead
20260924T224637Z	mention-90f411124b16ab83	doc-aljazeera-starmer-resignation-2026-06-22	entity-537e4623596271ee	person	Al Jazeera	Al Jazeera	al jazeera	news_clipping	Al Jazeera explainer on the resignation.	2	0.90		https://www.aljazeera.com/news/2026/6/22/why-has-keir-starmer-resigned-as-uk-prime-minister-and-who-will-take-over
20260924T224637Z	mention-b72c66f8b7d5e132	doc-americanbanker-firstbank-2026-06	entity-813049e17b4c478d	person	American Banker	American Banker	american banker	news_clipping	American Banker: Epstein victim says Puerto Rico bank facilitated his crimes.	2	0.90		https://www.americanbanker.com/news/epstein-victim-says-puerto-rico-bank-facilitated-his-crimes
20260924T224637Z	mention-b1a971d1dd25aedb	doc-americanbanker-firstbank-2026-06	entity-febb55c8bd71424d	person	Puerto Rico	Puerto Rico	puerto rico	news_clipping	American Banker: Epstein victim says Puerto Rico bank facilitated his crimes.	2	0.90		https://www.americanbanker.com/news/epstein-victim-says-puerto-rico-bank-facilitated-his-crimes
20260924T224637Z	mention-13a4818cb202dba2	doc-ap-wasserman-agency-sale-2026-02-14	entity-26fdf29c448e0da9	person	Casey Wasserman	Casey Wasserman	casey wasserman	email_body	AP says LA28 chair Casey Wasserman is selling his agency after Maxwell email disclosure.	3	0.90		https://apnews.com/article/jeffrey-epstein-casey-wasserman-ghislaine-maxwell-olympics-02bc53aa1b6fa6fecac47e3a31a29ef1
20260924T224637Z	mention-14707fc36fec02a6	doc-apollo-10q-2026-06-30	entity-207d7ef1b7a6143d	person	Apollo Form	Apollo Form	apollo form	legal_filing	Apollo Form 10-Q for the quarter ended June 30, 2026.	2	0.90		https://www.sec.gov/Archives/edgar/data/0001858681/000185868126000040/apo-20260630.htm
20260924T224637Z	mention-839540c331fd3c01	doc-artnewspaper-reading-room-2026-05-13	entity-802b5d8cd533b719	person	The Art Newspaper	The Art Newspaper	the art newspaper	news_clipping	The Art Newspaper: reading room opens.	2	0.90		https://www.theartnewspaper.com/2026/05/13/a-reading-room-for-the-epstein-files-opens-in-new-york
20260924T224637Z	mention-ecd1d678c18aa234	doc-axios-bondi-out-2026-04-02	entity-3d38d965e23e48c0	person	Attorney General	Attorney General	attorney general	news_clipping	Axios: Attorney General Pam Bondi pushed out.	2	0.90		https://www.axios.com/2026/04/02/pam-bondi-attorney-general-out
20260924T224637Z	mention-88a9a3f487bd9e1c	doc-axios-bondi-out-2026-04-02	entity-16c0b8bb566a7911	person	Attorney General Pam Bondi	Attorney General Pam Bondi	attorney general pam bondi	news_clipping	Axios: Attorney General Pam Bondi pushed out.	2	0.90		https://www.axios.com/2026/04/02/pam-bondi-attorney-general-out
20260924T224637Z	mention-d4e8fa5c0b521387	doc-axios-bondi-out-2026-04-02	entity-5fece04059ba0949	person	Pam Bondi	Pam Bondi	pam bondi	news_clipping	Axios: Attorney General Pam Bondi pushed out.	3	0.90		https://www.axios.com/2026/04/02/pam-bondi-attorney-general-out
20260924T224637Z	mention-aca4770da1da94e8	doc-axios-regime-change-2026-06-10	entity-33321761f66d8cbd	person	Regime Change	Regime Change	regime change	news_clipping	Axios: Regime Change reveals Epstein leak fears.	2	0.90		https://www.axios.com/2026/06/10/trump-epstein-files-regime-change-book-swan-haberman
20260924T224637Z	mention-4369cf3c2f51dd42	doc-bard-botstein-message-2026-05-01	entity-e39ac9e5dc243727	person	Leon Botstein	Leon Botstein	leon botstein	legal_filing	Bard: message from President Leon Botstein.	2	0.90		https://www.bard.edu/news/message-from-bard-college-president-leon-botstein-2026-05-01
20260924T224637Z	mention-96c79e2946a3ff99	doc-bard-botstein-message-2026-05-01	entity-9769c4c7bd4899a9	person	President Leon Botstein	President Leon Botstein	president leon botstein	legal_filing	Bard: message from President Leon Botstein.	2	0.90		https://www.bard.edu/news/message-from-bard-college-president-leon-botstein-2026-05-01
20260924T224637Z	mention-78d43dcfbda400dc	doc-bloomberg-mountsinai-2026-02-27	entity-ad6d0b4a61875b6a	person	Mount Sinai	Mount Sinai	mount sinai	news_clipping	Bloomberg: Mount Sinai forms committee.	2	0.90		https://www.bloomberg.com/news/articles/2026-02-27/mount-sinai-forms-committee-to-review-epstein-s-ties-to-hospital
20260924T224637Z	mention-e509b70a1482debf	doc-bloomberglaw-christiansen-2026-08	entity-acfd6362a76681d0	person	Bloomberg Law	Bloomberg Law	bloomberg law	news_clipping	Bloomberg Law: Epstein estate sued in New York.	3	0.90		https://news.bloomberglaw.com/litigation/epstein-victims-sue-estate-executors-in-ny-over-sexual-assaults
20260924T224637Z	mention-179d04035d4e6582	doc-bloomberglaw-christiansen-2026-08	entity-ff372baf960ebc69	person	New York	New York	new york	news_clipping	Bloomberg Law: Epstein estate sued in New York.	2	0.90		https://news.bloomberglaw.com/litigation/epstein-victims-sue-estate-executors-in-ny-over-sexual-assaults
20260924T224637Z	mention-f59742877cc5e84e	doc-businesstoday-mmc-2026-07-22	entity-4c7d955d10cfe9c1	person	Business Today Malaysia	Business Today Malaysia	business today malaysia	news_clipping	Business Today Malaysia: appointment faces scrutiny.	2	0.90		https://www.businesstoday.com.my/2026/07/22/mmc-port-chairman-appointment-faces-scrutiny-over-alleged-epstein-ties/
20260924T224637Z	mention-bc4a4fe57d7bfe7a	doc-cbs-andrew-arrest-2026-02-19	entity-431689d8ab66328c	person	Prince Andrew	Prince Andrew	prince andrew	news_clipping	CBS: former Prince Andrew arrested over suspected misconduct in public office.	3	0.90		https://www.cbsnews.com/news/former-prince-andrew-arrested-epstein-files-suspected-misconduct-public-office/
20260924T224637Z	mention-2dddc784081a6c82	doc-clearinghouse-phang-v-blanche	entity-238f3a9f831a78d1	organization	Civil Rights Litigation Clearinghouse	Civil Rights Litigation Clearinghouse	civil rights litigation clearinghouse	news_clipping	Civil Rights Litigation Clearinghouse case summary for Phang v. Blanche 1:26-cv-01417.	2	0.90		https://clearinghouse.net/case/48180/
20260924T224637Z	mention-c98645edebe1ac4a	doc-cnbc-black-contempt-2026-09-16	entity-7bc876982c65b8e8	person	Leon Black	Leon Black	leon black	news_clipping	CNBC: House votes to hold Leon Black in contempt.	3	0.90		https://www.cnbc.com/2026/09/16/leon-black-contempt-house-epstein-subpoenas-refusal.html
20260924T224637Z	mention-b075dcc329f116e2	doc-cnn-mountsinai-2026-05-26	entity-ad6d0b4a61875b6a	person	Mount Sinai	Mount Sinai	mount sinai	news_clipping	CNN: inside Epstein's ties to Mount Sinai.	2	0.90		https://www.cnn.com/2026/05/26/politics/jeffrey-epstein-mount-sinai-hospital
20260924T224637Z	mention-998f4d5569e9ee00	doc-cnn-pritzker-retire-2026-02-16	entity-a2ae794ee60df01d	person	Executive Chairman	Executive Chairman	executive chairman	news_clipping	CNN: Hyatt executive chairman steps down.	2	0.90		https://www.cnn.com/2026/02/16/business/hyatt-pritzker-retire-epstein
20260924T224637Z	mention-54332372d38f9999	doc-columbia-axel-statement-2026-02-24	entity-f92b3575062f00ad	person	Richard Axel	Richard Axel	richard axel	legal_filing	Columbia statement on Dr. Richard Axel stepping down.	2	0.90		https://communications.news.columbia.edu/news/statement-columbia-university-dr-richard-axel-stepping-down-co-director-zuckerman-mind
20260924T224637Z	mention-1c26a90af80cf7b2	doc-columbia-dental-statement-2026-02-11	entity-2a2254a758ef31ea	person	Dental Medicine	Dental Medicine	dental medicine	legal_filing	Columbia statement regarding the College of Dental Medicine.	2	0.90		https://communications.news.columbia.edu/news/statement-columbia-university-regarding-college-dental-medicine-and-communications-jeffrey
20260924T224637Z	mention-3c8b47711bd86ead	doc-concordmonitor-kamen-2026-03-12	entity-9dd65cb94f3bcd3d	person	Concord Monitor	Concord Monitor	concord monitor	news_clipping	Concord Monitor: Kamen quits FIRST.	2	0.90		https://www.concordmonitor.com/2026/03/12/epstein-ties-lead-to-kamen-resignation/
20260924T224637Z	mention-6dce0c27e93be1b0	doc-correio-mpf-epstein-2026-02	entity-4fb5c7479c1ec23c	person	Correio Braziliense	Correio Braziliense	correio braziliense	news_clipping	Correio Braziliense: MPF opens inquiry.	2	0.90		https://www.correiobraziliense.com.br/mundo/2026/02/7353387-mpf-abre-investigacao-sobre-rede-de-aliciamento-de-mulheres-para-epstein-no-brasil-apos-reportagem-da-bbc-participacao-das-vitimas-e-fundamental.html
20260924T224637Z	mention-d327d8e172796718	doc-courthouse-nm-sues-2026-08	entity-eba3887ac6b8f062	organization	Courthouse News	Courthouse News	courthouse news	news_clipping	Courthouse News coverage of the complaint.	2	0.90		https://www.courthousenews.com/new-mexico-rips-feds-for-stonewalling-probe-into-epstein-ranch/
20260924T224637Z	mention-fd03ca465f08ba57	doc-courthousenews-fbi-suit-2026-08-18	entity-eba3887ac6b8f062	organization	Courthouse News	Courthouse News	courthouse news	news_clipping	Courthouse News: victims' suit against FBI poised to survive dismissal.	2	0.90		https://www.courthousenews.com/epstein-victims-suit-against-fbi-poised-to-survive-dismissal-for-now/
20260924T224637Z	mention-07899f8cb8ebebc1	doc-courthousenews-melania-sanctions-2026-07-21	entity-eba3887ac6b8f062	organization	Courthouse News	Courthouse News	courthouse news	news_clipping	Courthouse News: Melania Trump files for sanctions against Wolff.	2	0.90		https://www.courthousenews.com/melania-trump-files-for-sanctions-against-journalist-michael-wolff/
20260924T224637Z	mention-f7dcfda6e8970dbd	doc-courthousenews-melania-sanctions-2026-07-21	entity-3c6244d3e52f26ab	person	Melania Trump	Melania Trump	melania trump	news_clipping	Courthouse News: Melania Trump files for sanctions against Wolff.	3	0.90		https://www.courthousenews.com/melania-trump-files-for-sanctions-against-journalist-michael-wolff/
20260924T224637Z	mention-6c826c65b001e5d8	doc-courthousenews-vyskocil-caution-2026-07-01	entity-eba3887ac6b8f062	organization	Courthouse News	Courthouse News	courthouse news	news_clipping	Courthouse News: judge cautions against sanctions motion.	2	0.90		https://www.courthousenews.com/judge-cautions-melania-trump-against-trying-to-sanction-journalist-michael-wolff/
