run_utc	claim_id	redaction_category	category_definition	claim_status	name_context_class	claim_text
20260924T223228Z	claim-bondi-hearing-date	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	Pam Bondi testified before the House Judiciary Committee on February 11, 2026.
20260924T223228Z	claim-hr4405-enacted	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	The Epstein Files Transparency Act (H.R. 4405) was enacted on November 19, 2025.
20260924T223228Z	claim-doj-35m-pages	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	DOJ announced publication of 3.5 million responsive pages related to Epstein files on January 30, 2026.
20260924T223228Z	claim-wasserman-agency-sale	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	AP reported Casey Wasserman planned to sell his talent agency after publication of emails involving Ghislaine Maxwell.
20260924T223228Z	claim-doj-redactions-letter-reuters	context_gap	Name/context mismatch where list-level references lack per-name context.	alleged	administrative_mention	Reuters reported DOJ sent lawmakers a Feb. 15, 2026 letter describing redaction rationale and stating four newly discussed individuals were not directly tied to wrongdoing in reviewed records.
20260924T223228Z	claim-epstein-nobel-outreach-ap	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	AP reported file excerpts described Epstein referencing Nobel committee leadership in outreach messages to high-profile contacts.
20260924T223228Z	claim-lifetouch-school-cancellations	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	AP reported some U.S. school districts paused or canceled Lifetouch sessions after viral posts made Epstein-related allegations.
20260924T223228Z	claim-lutnick-meetings-acknowledged-ap	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	media_reference	AP reported Howard Lutnick acknowledged pre-government meetings with Epstein and that prior denials were inaccurate.
20260924T223228Z	claim-doj-letter-300plus-no-context	context_gap	Name/context mismatch where list-level references lack per-name context.	alleged	administrative_mention	Reuters and CNN reported DOJ sent lawmakers a summary covering over 300 officials and politically exposed persons in Epstein-related records, while stating inclusion in that summary does not itself establish wrongdoing.
20260924T223228Z	claim-oversight-bondi-subpoena-20260317	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	The House Oversight Committee issued a subpoena to Attorney General Pam Bondi on March 17, 2026 for an April 14, 2026 deposition in its Epstein investigation.
20260924T223228Z	claim-bondi-removed-ag-20260402	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	administrative_mention	President Trump removed Pam Bondi as U.S. Attorney General on April 2, 2026, and Deputy Attorney General Todd Blanche became acting attorney general.
20260924T223228Z	claim-bondi-transcribed-interview-20260529	unknown	Redaction rationale unclear or not yet classified in available records.	verified_primary	administrative_mention	Former Attorney General Pam Bondi sat for a closed-door transcribed interview with the House Oversight Committee on May 29, 2026 instead of a subpoenaed deposition.
20260924T223228Z	claim-blanche-confirmed-ag-20260808	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	administrative_mention	The Senate confirmed Todd Blanche as U.S. Attorney General on August 8, 2026 by a 50-49 vote.
20260924T223228Z	claim-phang-v-blanche-injunction-20260625	context_gap	Name/context mismatch where list-level references lack per-name context.	alleged	administrative_mention	On June 25, 2026, Judge Emmet Sullivan granted a preliminary injunction in Phang v. Blanche ordering DOJ to unredact disputed Epstein records or justify each redaction.
20260924T223228Z	claim-sullivan-sept24-deadline-20260916	unknown	Redaction rationale unclear or not yet classified in available records.	alleged	administrative_mention	On September 16, 2026, Judge Sullivan set a September 24 deadline for DOJ to produce disputed Epstein records or explain why his orders were not clear, and said a contempt finding would be premature at that juncture.
