run_utc	claim_id	claim_status	claim_type	name_context_class	asserted_by	first_seen_date	confidence	claim_text	related_source_urls	gap_reason
20260923T220952Z	claim-andrew-arrested-20260219	alleged	timeline	administrative_mention	NPR / CBS	2026-02-19	0.95	Thames Valley Police arrested Andrew Mountbatten-Windsor on February 19, 2026 on suspicion of misconduct in public office and released him under investigation.	https://www.cbsnews.com/news/former-prince-andrew-arrested-epstein-files-suspected-misconduct-public-office/, https://www.npr.org/2026/02/19/nx-s1-5719098/former-prince-andrew-arrested-on-suspicion-of-misconduct-in-public-office-reports	No tier-1 evidence_type link (primary/transcript/filing/release).
20260923T220952Z	claim-blanche-confirmed-ag-20260808	alleged	timeline	administrative_mention	NPR / Washington Post	2026-08-08	0.95	The Senate confirmed Todd Blanche as U.S. Attorney General on August 8, 2026 by a 50-49 vote.	https://www.npr.org/2026/08/08/g-s1-137631/senate-confirms-todd-blanche-attorney-general, https://www.washingtonpost.com/national-security/2026/08/08/senate-narrowly-approves-todd-blanche-ag-capping-tough-confirmation-fight/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260923T220952Z	claim-bofa-settlement-final-approval-20260827	alleged	legal	administrative_mention	Reuters / ABC	2026-08-27	0.93	A federal judge gave final approval on August 27, 2026 to Bank of America's $72.5 million class settlement with Epstein accusers.	https://abcnews.com/US/judge-final-approval-bank-americas-72-million-settlement/story?id=136002279, https://www.usnews.com/news/top-news/articles/2026-08-27/court-approves-bank-of-americas-72-5-million-settlement-with-epstein-accusers	No tier-1 evidence_type link (primary/transcript/filing/release).
20260923T220952Z	claim-bondi-removed-ag-20260402	alleged	timeline	administrative_mention	CBS News / Axios	2026-04-02	0.95	President Trump removed Pam Bondi as U.S. Attorney General on April 2, 2026, and Deputy Attorney General Todd Blanche became acting attorney general.	https://www.axios.com/2026/04/02/pam-bondi-attorney-general-out, https://www.cbsnews.com/news/trump-pam-bondi-attorney-general/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260923T220952Z	claim-doj-letter-300plus-no-context	alleged	procedural	administrative_mention	DOJ (reported by Reuters/CNN)	2026-02-15	0.89	Reuters and CNN reported DOJ sent lawmakers a summary covering over 300 officials and politically exposed persons in Epstein-related records, while stating inclusion in that summary does not itself establish wrongdoing.	https://keyt.com/news/national-world/cnn-us-politics/2026/02/15/doj-letter-on-epstein-files-lists-hundreds-of-names-but-doesnt-provide-context/, https://whbl.com/2026/02/15/us-justice-department-sends-letter-on-epstein-files-redactions-to-congress/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260923T220952Z	claim-doj-oig-efta-audit-20260423	alleged	procedural	administrative_mention	UPI / The Hill	2026-04-23	0.9	The DOJ Office of the Inspector General announced in April 2026 an audit of DOJ compliance with the Epstein Files Transparency Act.	https://thehill.com/homenews/administration/5845360-doj-ig-epstein-files-transparency/, https://www.upi.com/Top_News/US/2026/04/23/justice-department-inspector-general-audit-epstein-files-release/7901776973145/	No tier-1 evidence_type link (primary/transcript/filing/release).
20260923T220952Z	claim-doj-redactions-letter-reuters	alleged	procedural	administrative_mention	Reuters	2026-02-15	0.90	Reuters reported DOJ sent lawmakers a Feb. 15, 2026 letter describing redaction rationale and stating four newly discussed individuals were not directly tied to wrongdoing in reviewed records.	https://www.yahoo.com/news/us-justice-department-sends-letter-072131716.html	No tier-1 evidence_type link (primary/transcript/filing/release).
20260923T220952Z	claim-efta2-discharge-218-20260918	alleged	procedural	administrative_mention	Axios	2026-09-18	0.88	Reps. Massie and Khanna said on September 18, 2026 that the discharge petition for the Epstein Files Transparency Act II had reached 218 signatures.	https://politicalwire.com/2026/09/18/second-epstein-files-discharge-petition-has-the-signatures/, https://www.axios.com/2026/09/18/epstein-files-vote-massie-khanna-support	No tier-1 evidence_type link (primary/transcript/filing/release).
20260923T220952Z	claim-epstein-nobel-outreach-ap	alleged	factual	media_reference	AP	2026-02-14	0.90	AP reported file excerpts described Epstein referencing Nobel committee leadership in outreach messages to high-profile contacts.	https://apnews.com/article/epstein-nobel-jagland-branson-summers-bannon-trump-a947bbf2bd307658014862d01517d21f	No tier-1 evidence_type link (primary/transcript/filing/release).
20260923T220952Z	claim-european-mla-unanswered-20260909	alleged	factual	media_reference	Washington Post	2026-09-09	0.85	The Washington Post reported on September 9, 2026 that investigators in Poland, Norway, and Latvia said DOJ had not answered their mutual legal assistance requests; DOJ said it had not refused any jurisdiction.	https://www.forbes.com/sites/alisondurkee/2026/09/09/doj-so-far-isnt-helping-european-countries-investigate-epstein-officials-say/, https://www.washingtonpost.com/world/2026/09/09/europeans-investigating-epstein-say-doj-has-not-agreed-requests-help/	No tier-1 evidence_type link (primary/transcript/filing/release).
