change_type	claim_id	previous_status	new_status	previous_confidence	new_confidence	claim_text
added	claim-andrew-arrested-20260219		alleged		0.95	Thames Valley Police arrested Andrew Mountbatten-Windsor on February 19, 2026 on suspicion of misconduct in public office and released him under investigation.
added	claim-blanche-confirmed-ag-20260808		alleged		0.95	The Senate confirmed Todd Blanche as U.S. Attorney General on August 8, 2026 by a 50-49 vote.
added	claim-bofa-settlement-final-approval-20260827		alleged		0.93	A federal judge gave final approval on August 27, 2026 to Bank of America's $72.5 million class settlement with Epstein accusers.
added	claim-bondi-removed-ag-20260402		alleged		0.95	President Trump removed Pam Bondi as U.S. Attorney General on April 2, 2026, and Deputy Attorney General Todd Blanche became acting attorney general.
added	claim-bondi-transcribed-interview-20260529		verified_primary		0.93	Former Attorney General Pam Bondi sat for a closed-door transcribed interview with the House Oversight Committee on May 29, 2026 instead of a subpoenaed deposition.
added	claim-doj-oig-efta-audit-20260423		alleged		0.9	The DOJ Office of the Inspector General announced in April 2026 an audit of DOJ compliance with the Epstein Files Transparency Act.
added	claim-efta2-discharge-218-20260918		alleged		0.88	Reps. Massie and Khanna said on September 18, 2026 that the discharge petition for the Epstein Files Transparency Act II had reached 218 signatures.
added	claim-european-mla-unanswered-20260909		alleged		0.85	The Washington Post reported on September 9, 2026 that investigators in Poland, Norway, and Latvia said DOJ had not answered their mutual legal assistance requests; DOJ said it had not refused any jurisdiction.
added	claim-gao-redaction-review-20260428		alleged		0.88	The Government Accountability Office agreed in late April 2026 to review DOJ's handling of redactions in the Epstein files.
added	claim-gates-foundation-review-20260721		verified_primary		0.9	The Gates Foundation's external review summary, released July 21, 2026, reported no evidence that the foundation made payments to Epstein.
added	claim-goldman-ruemmler-8k-2026		verified_primary		0.95	Goldman Sachs disclosed in an SEC Form 8-K that Kathryn Ruemmler determined to retire as its chief legal officer and general counsel.
added	claim-house-black-contempt-20260916		alleged		0.93	The House voted on September 16, 2026 to hold Leon Black in contempt of Congress for defying House Oversight subpoenas in its Epstein investigation.
added	claim-hr10389-svpa-introduced-20260916		verified_primary		0.95	House Oversight Chairman James Comer introduced the Survivor's Voice Protection Act (H.R. 10389) on September 16, 2026.
added	claim-hr10397-srra-introduced-20260915		verified_primary		0.96	The Survivors' Rights Restitution Act (H.R. 10397) was introduced in the House on September 15, 2026.
added	claim-hr9694-efta2-introduced-20260715		verified_primary		0.96	H.R. 9694, the Epstein Files Transparency Act II, was introduced in the House in July 2026 by Reps. Massie, Khanna, and Leger Fernandez.
added	claim-hyatt-pritzker-retired-20260216		verified_primary		0.98	Hyatt announced on February 16, 2026 that Thomas J. Pritzker retired as executive chairman effective immediately and would not seek re-election to the board.
added	claim-mandelson-arrested-20260223		alleged		0.94	The Metropolitan Police arrested Peter Mandelson on February 23, 2026 on suspicion of misconduct in public office; he was later released under investigation.
added	claim-maxwell-postconviction-denied-20260825		alleged		0.92	Judge Paul Engelmayer denied Ghislaine Maxwell's pro se petition to vacate her conviction in an order made public on August 25, 2026.
added	claim-nm-sues-doj-records-202608		verified_primary		0.94	New Mexico's Department of Justice sued the U.S. Department of Justice in August 2026 seeking unredacted Epstein investigative files for its Zorro Ranch criminal probe.
added	claim-nm-truth-commission-interim-20260805		verified_primary		0.93	New Mexico's Survivors' Truth Commission released a 119-page interim report on August 5, 2026 that assembles evidence on Zorro Ranch but makes no final findings of wrongdoing.
added	claim-oversight-black-band-transcripts-2026		verified_primary		0.94	The House Oversight Committee released transcripts of Leon Black's June 26, 2026 and Doug Band's June 30, 2026 transcribed interviews.
added	claim-oversight-bondi-subpoena-20260317		verified_primary		0.97	The House Oversight Committee issued a subpoena to Attorney General Pam Bondi on March 17, 2026 for an April 14, 2026 deposition in its Epstein investigation.
added	claim-oversight-doj-referral-request-20260604		verified_primary		0.92	House Oversight Chairman James Comer and Republican members asked DOJ on June 4, 2026 to investigate allegations Sarah Kellen made in her transcribed interview against two men, both of whom deny the allegations.
added	claim-oversight-gates-groff-transcripts-20260623		verified_primary		0.96	The House Oversight Committee released transcripts of its June 2026 interviews with Lesley Groff and Bill Gates.
added	claim-oversight-staley-transcript-20260826		verified_primary		0.95	The House Oversight Committee released a redacted transcript of Jes Staley's July 24, 2026 transcribed interview in late August 2026.
added	claim-phang-v-blanche-injunction-20260625		alleged		0.9	On June 25, 2026, Judge Emmet Sullivan granted a preliminary injunction in Phang v. Blanche ordering DOJ to unredact disputed Epstein records or justify each redaction.
added	claim-preska-efta-overrides-sealing-20260811		alleged		0.88	On August 11, 2026, Judge Loretta Preska ruled the Epstein Files Transparency Act overrides earlier sealing orders, grand-jury secrecy, and Ghislaine Maxwell's privacy claims, clearing additional records for release.
added	claim-purported-note-unsealed-20260506		alleged		0.9	A federal judge unsealed on May 6, 2026 a purported note that Nicholas Tartaglione says he found in July 2019; the court did not assess its authenticity.
added	claim-siad-found-dead-20260720		alleged		0.9	French model scout Daniel Siad, who was under French investigation over alleged recruitment for Epstein, was found dead at his home near Paris on July 20, 2026; the cause of death was under investigation.
